id_athlete,last_name,first_name,id_team,team_name
190640.0,PARK,Kyoung-Doo,15947,Republic of Korea
190827.0,BILENKO,Tetyana,11140,Ukraine
191061.0,LIN,Po Heung,10213,"Hong Kong, China"
191490.0,PATTANTYUS,Adam,11970,Hungary
191532.0,LUTFILLAEV,Sharafuddin,14612,Uzbekistan
191589.0,ZHANG,Fengliu,12066,China
191595.0,GROL,Henk,8805,Netherlands
191648.0,FOCKEN,Aline,8785,Germany
191966.0,VESCAN,Cinthya Vanessa,11981,France
192084.0,CUEVAS,Pablo,12643,Uruguay
192172.0,SMAILA,Mahaman,10248,Cameroon
192268.0,LEFORT,Enzo,11154,France
192518.0,STOSUR,Samantha,10475,Australia
192579.0,TREIMANIS,Edžus,94317,Latvia
192590.0,VAN HOLSBEKE,Seppe,9861,Belgium
192660.0,SHARIPOV,Mirali,14612,Uzbekistan
192685.0,BARTY,Ashleigh,10475,Australia
192903.0,ABDIN,Hosam,12966,Egypt
192990.0,CHO,Mahama,8809,Great Britain
193150.0,NG,Ka Long,11132,"Hong Kong, China"
193272.0,VINCI,Roberta,10477,Italy
193370.0,LI,Michelle,11941,Canada
193527.0,BERNHOLM,Anna,11130,Sweden
193743.0,ERRIGO,Arianna,9849,Italy
193964.0,MURRAY,Andy,17986,Great Britain
193976.0,LIU,Yongshi,14577,China
193985.0,MIKKONEN,Suvi,10076,Finland
194152.0,ABEDINI,Mojtaba,15940,Iran
194260.0,OCCHIUZZI,Diego,9849,Italy
194440.0,KOCHER,Fabienne,14596,Switzerland
194457.0,ASGAROV,Toghrul,15306,Azerbaijan
194507.0,BOLDER,Linda,11985,Israel
194518.0,TKACH,Yuliya,12441,Ukraine
194614.0,CHIBISOVA,Ksenia,9846,Russia
194720.0,KREISS,Fanni,8826,Hungary
194740.0,RYAN,Kelleigh,15073,Canada
194813.0,KIM,So-Hui,9828,Republic of Korea
194828.0,GIORGI,Camila,10477,Italy
194866.0,LABAZANOV,Ibragim,12963,Russia
194877.0,DE JESUS,Robenilson,12407,Brazil
195049.0,TEE,Jing Yi,10208,Malaysia
195140.0,HA,Taegyu,15947,Republic of Korea
195209.0,ALORA,Kirstie Elaine,10791,Philippines
195230.0,LA CRUZ,Julio,10257,Cuba
195360.0,RIVAS ESPINOZA,Wuileixis,15998,Venezuela
195371.0,DUTRA SILVA,Rogério,11820,Brazil
195374.0,BYAMBA,Tuvshinbat,12059,Mongolia
195634.0,MINASKIN,Grigori,9403,Estonia
195735.0,ZHAKYPOV,Birzhan,10218,Kazakhstan
195804.0,CHIBANA,Gabriela,11177,Brazil
195894.0,SHU,Howard,11927,United States
196069.0,ADEKUOROYE,Odunayo,12422,Nigeria
196220.0,GARDOS,Robert,11933,Austria
196411.0,WARD,Joe,8807,Ireland
196548.0,SHELTON,Aleksandra,8825,Poland
196553.0,BELOMOINA,Yana,96858,Ukraine
196662.0,HOSSEINKHANI,Mostafa Mohabbali,11181,Iran
197160.0,LEI,Sheng,14577,China
197383.0,CIOBANU,Victor,11956,Moldova
197383.0,CIOBANU,Victor,10109,Moldova
197391.0,SHERSHAN,Dzmitry,9829,Belarus
197759.0,FERJANI,Ayoub,14611,Tunisia
197791.0,RYU,Han-Soo,15325,Republic of Korea
197791.0,RYU,Han-Soo,15352,Republic of Korea
197942.0,DIATTA,Adama,8784,Senegal
197948.0,ALBIEV,Islambek,12963,Russia
198110.0,LEVIT,Vassiliy,10218,Kazakhstan
198221.0,MAROULIS,Helen,12055,United States
198223.0,POLLACK,Golan,11985,Israel
198284.0,AL-AAMERI,Hussein,10281,Iraq
198372.0,CORDINA,Joseph,10820,Great Britain
198406.0,GIONIS,Panagiotis,9823,Greece
198458.0,TAMURA,Norika,8811,Japan
198506.0,TULEN,Tristan,12411,Netherlands
198552.0,FAYEZ,Ayman,15341,Egypt
198611.0,MARCONCINI,Matteo,10221,Italy
198644.0,SEP,Hrvoje,15987,Croatia
198760.0,ANTOMARCHI,Kaliema,8790,Cuba
199049.0,CONWAY,Sally,10201,Great Britain
199126.0,ALEXUC-CIURARIU,Alin,12433,Romania
199126.0,ALEXUC-CIURARIU,Alin,14606,Romania
199127.0,TAI,Tzu Ying,14594,Chinese Taipei
199261.0,YANG,Kyong Il,15338,DPR Korea
199305.0,KHAVALDZHY BLAHINYA,Yuliia,12441,Ukraine
199333.0,DAUHALIAVETS,Mikhail,15957,Belarus
199434.0,STAMBAUGH,Victoria Ann,16001,Puerto Rico
199891.0,ULITINA,Mariya,14582,Ukraine
200026.0,DENG,Zhiwei,12066,China
200336.0,MARUTJAN,Arajik,11160,Germany
201034.0,AWANG,Azizul Hasni,89900,Malaysia
201051.0,MANYUROVA,Guzel,11157,Kazakhstan
201126.0,PATIÑO,Doris,10225,Colombia
201144.0,TERAN,Alejandra,10093,Mexico
201190.0,OLÁH,Benedek,12417,Finland
201263.0,LANGVAD,Annika,92739,Denmark
201757.0,KOVALEV,Nikolai,10783,Russia
201880.0,SORYAN REIHANPOUR,Hamid,10244,Iran
202095.0,BRAGANÇA,Rui,11323,Portugal
202220.0,DUCKWORTH,James,10475,Australia
202268.0,SHABANAU,Ali,15935,Belarus
202856.0,ZHAO,Shuai,11984,China
203016.0,DAVIS,James-Andrew,8767,Great Britain
203062.0,SAFWAT,Mohamed,14009,Egypt
203087.0,KNAPEK,Edina,8826,Hungary
203445.0,SHALA,Egzon,19738,Kosovo
