id_country,country_name
1,Afghanistan
4,Albania
5,Algeria
6,Andorra
7,Angola
8,Antigua and Barbuda
9,Argentina
10,Armenia
11,Aruba
12,American Samoa
13,Australia
14,Austria
15,Azerbaijan
16,Bahamas
17,Bangladesh
18,Barbados
19,Burundi
20,Belgium
21,Benin
22,Bermuda
24,Guyana
25,Bhutan
26,Bosnia & Herzegovina
27,Myanmar
28,Belize
29,Belarus
31,Bolivia
32,Botswana
33,Brazil
34,Bahrain
35,Brunei Darussalam
36,Bulgaria
37,Burkina Faso
38,Central African Republic
39,Cambodia
40,Canada
41,Cayman Islands
42,Sri Lanka
43,Congo
44,Chad
45,Chile
46,China
48,Ivory Coast
49,Cameroon
50,DR Congo
51,Cook Islands
52,Colombia
53,Comoros
54,Cape Verde
55,Costa Rica
56,Croatia
57,Cuba
58,Cyprus
59,Czech Republic
60,Denmark
61,Djibouti
62,Dominica
63,Dominican Republic
64,Ecuador
65,Egypt
67,Eritrea
68,El Salvador
69,Spain
70,Estonia
71,Ethiopia
73,Fiji
74,Finland
75,France
78,Micronesia
80,Gabon
81,Gambia
82,Great Britain
83,Guinea-Bissau
85,Georgia
86,Equatorial Guinea
87,Germany
88,Ghana
90,Greece
92,Grenada
93,Guatemala
95,Guinea
96,Guam
98,Haiti
99,"Hong Kong, China"
100,Honduras
101,Hungary
102,Indonesia
103,India
105,Independent Olympic Participant
106,Iran
109,Iraq
110,Iceland
111,Israel
112,Virgin Islands
113,Italy
114,British Virgin Islands
115,Jamaica
117,Jordan
118,Japan
119,Kazakhstan
120,Kenya
121,Kyrgyzstan
122,Kiribati
123,Korea
124,Saudi Arabia
125,Kuwait
126,Laos
127,Latvia
128,Libya
129,Liberia
130,St. Lucia
131,Lesotho
132,Lebanon
133,Liechtenstein
134,Lithuania
135,Luxembourg
137,Madagascar
138,Malaysia
139,Morocco
141,Malawi
142,Moldova
143,Maldives
144,Mexico
145,Mongolia
146,Marshall Islands
147,FYR Macedonia
148,Mali
149,Malta
150,Montenegro
152,Monaco
153,Mozambique
154,Mauritius
156,Mauritania
158,Namibia
159,Nicaragua
161,Netherlands
162,Nepal
164,Nigeria
165,Niger
168,Norway
169,Nauru
170,New Zealand
171,Oman
172,Pakistan
173,Panama
174,Paraguay
175,Peru
176,Philippines
177,Palestine
178,Palau
179,Papua New Guinea
180,Poland
181,Portugal
182,DPR Korea
183,Puerto Rico
185,Qatar
186,Zimbabwe
187,Romania
188,South Africa
190,Rwanda
191,Samoa
194,Senegal
195,Serbia
196,Seychelles
197,Singapore
198,St. Kitts & Nevis
199,Sierra Leone
200,San Marino
201,Solomon Islands
202,Somalia
205,Sao Tome & Principe
206,Sudan
207,Switzerland
208,Suriname
209,Slovakia
210,Slovenia
211,Sweden
212,Swaziland
213,Syria
214,Tanzania
217,Tonga
218,Thailand
219,Tajikistan
220,Turkmenistan
221,East Timor
222,Togo
223,Chinese Taipei
224,Trinidad & Tobago
225,Tunisia
226,Turkey
227,Tuvalu
228,United Arab Emirates
229,Uganda
230,Ukraine
232,Uruguay
233,United States
234,Uzbekistan
235,Vanuatu
236,Venezuela
237,Vietnam
238,St. Vincent & the Grenadines
240,Yemen
242,Zambia
247,Kosovo
269,South Sudan
286,Russia
288,Ireland
293,Korea
305,Refugee Olympic Team
311,Olympic Athlete from Russia
387,Russian Olympic Committee
438,Individual Neutral Athlete
