id_epreuve,epreuve,epreuve_genre,epreuve_type,est_epreuve_individuelle,est_epreuve_olympique,est_epreuve_ete,est_epreuve_handi,epreuve_sens_resultat,id_discipline_administrative,discipline_administrative,id_specialite,specialite
1,Course sur route - Hommes,Hommes,Individuel,1,1,1,0,0,23,Route,50,Course en ligne
2,Contre la montre - Hommes,Hommes,Individuel,1,1,1,0,0,23,Route,49,Course contre la montre
4,Par équipes Pursuit 8 Laps - Hommes,Hommes,Equipe,0,1,0,0,0,401,Patinage de vitesse sur glace grande piste,289,Longue piste
5,Simple - Hommes,Hommes,Individuel,1,1,1,0,0,130,Tennis,207,Tennis
8,1500m - Hommes,Hommes,Individuel,1,1,1,0,0,251,Athlétisme disciplines olympiques,9,Demi-fond
13,Relais 4 x 400m - Hommes,Hommes,Equipe,0,1,1,0,0,251,Athlétisme disciplines olympiques,16,Relais
15,50km Marche - Hommes,Hommes,Individuel,1,0,1,0,0,251,Athlétisme disciplines olympiques,15,Marche athlétique
18,Poids - Hommes,Hommes,Individuel,1,1,1,0,1,251,Athlétisme disciplines olympiques,13,Lancers
24,Combiné alpin - Hommes,Hommes,Individuel,1,1,0,0,0,107,Ski alpin,257,Ski alpin
25,Descente - Hommes,Hommes,Individuel,1,1,0,0,0,107,Ski alpin,257,Ski alpin
26,Super G - Hommes,Hommes,Individuel,1,1,0,0,0,107,Ski alpin,257,Ski alpin
27,49er - Hommes,Hommes,Double,0,1,1,0,0,144,Dériveur,231,Haute performance
28,ILCA 7 - Hommes,Hommes,Individuel,1,1,1,0,0,144,Dériveur,232,Solitaire
38,400m 4 nages (individuel) - Hommes,Hommes,Individuel,1,1,1,0,0,355,Natation course,150,Natation course bassin de 50m
39,3m Tremplin - Hommes,Hommes,Individuel,1,1,1,0,1,84,Plongeon,151,Plongeon
40,Double - Hommes,Hommes,Double,0,1,1,0,1,9,Badminton,92,Badminton
